ID1	ZAVSIF	ZAVKATEGNAC	PREDMETNIK	ZAVSIFMAT	ID	MAT_ID	PROGRAM_ID	RAZRED	RAZRED_OZNAKA	DELEZ	ST_UC	ST_DEK	ST_ROM	ST_ODL_USM	ST_OPB	JEZIK_1	JEZIK_2	REGIJA	TIP
continuous	continuous	continuous	discrete	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete	string
																		class	meta
140.0	356.0	2010.0	A	117.0	1040044.0	1040042.0	3803.0	13.0	2. razred	0.0	5.0	8.0	3.0	0.0	0.0	8.0	0.0	Pomurska	2.0
141.0	1307.0	2010.0	A	117.0	1040046.0	1040045.0	3803.0	14.0	3. razred	0.0	5.0	8.0	3.0	0.0	0.0	8.0	1487.0	Osrednjeslovenska	2.0
142.0	1308.0	2010.0	A	117.0	1040058.0	1040058.0	3803.0	16.0	A	1.0	9.0	4.0	0.0	2.0	9.0	1487.0	0.0	Osrednjeslovenska	1.0
143.0	178.0	2010.0	A	117.0	1040051.0	1040050.0	3803.0	17.0	6. razred	0.0	5.0	7.0	3.0	0.0	0.0	6.0	1487.0	Osrednjeslovenska	2.0
144.0	1034.0	2010.0	A	117.0	1040052.0	1040050.0	3803.0	18.0	7. razred	0.0	5.0	6.0	5.0	0.0	0.0	6.0	1487.0	Osrednjeslovenska	2.0
145.0	1036.0	2010.0	A	117.0	1040055.0	1040054.0	3803.0	19.0	8. razred	0.0	5.0	4.0	1.0	0.0	0.0	4.0	1487.0	Osrednjeslovenska	2.0
146.0	1037.0	2010.0	A	117.0	1040056.0	1040054.0	3803.0	20.0	9. razred	0.0	5.0	4.0	2.0	0.0	0.0	4.0	1487.0	Osrednjeslovenska	2.0
147.0	1038.0	2010.0	A	117.0	1040047.0	1040045.0	3803.0	15.0	4. razred	0.0	5.0	7.0	3.0	0.0	0.0	7.0	1487.0	Osrednjeslovenska	2.0
148.0	421.0	2010.0	A	118.0	1039314.0	1039314.0	3803.0	14.0	C	1.0	23.0	8.0	0.0	0.0	17.0	0.0	0.0	Podravska	1.0
150.0	575.0	2010.0	A	118.0	1039316.0	1039316.0	3803.0	15.0	B	1.0	21.0	10.0	0.0	1.0	17.0	1487.0	0.0	Podravska	1.0
151.0	938.0	2010.0	A	118.0	1039317.0	1039317.0	3803.0	15.0	C	1.0	21.0	10.0	0.0	0.0	13.0	1487.0	0.0	Podravska	1.0
152.0	324.0	2010.0	A	118.0	1039318.0	1039318.0	3803.0	16.0	A	1.0	22.0	12.0	0.0	3.0	13.0	1487.0	0.0	Osrednjeslovenska	1.0
153.0	181.0	2010.0	A	118.0	1039319.0	1039319.0	3803.0	16.0	B	1.0	23.0	15.0	0.0	2.0	15.0	1487.0	0.0	Zasavska	1.0
154.0	3548.0	2010.0	A	118.0	1039329.0	1039329.0	3803.0	17.0	A	1.0	20.0	8.0	0.0	1.0	0.0	1487.0	0.0	Zasavska	1.0
155.0	461.0	2010.0	A	118.0	1039336.0	1039336.0	3803.0	17.0	B	1.0	21.0	8.0	0.0	2.0	0.0	1487.0	0.0	Obalno-Kraška	1.0
157.0	184.0	2010.0	A	118.0	1039337.0	1039337.0	3803.0	17.0	C	1.0	21.0	10.0	0.0	2.0	0.0	1487.0	0.0	Goriška	1.0
158.0	185.0	2010.0	A	118.0	1039342.0	1039342.0	3803.0	18.0	A	1.0	21.0	8.0	0.0	1.0	0.0	1487.0	0.0	Goriška	1.0
159.0	890.0	2010.0	A	118.0	1039344.0	1039344.0	3803.0	18.0	B	1.0	21.0	7.0	0.0	0.0	0.0	1487.0	0.0	Goriška	1.0
160.0	891.0	2010.0	A	118.0	1039345.0	1039345.0	3803.0	18.0	C	1.0	21.0	8.0	0.0	2.0	0.0	1487.0	0.0	Goriška	1.0
161.0	188.0	2010.0	A	118.0	1039347.0	1039347.0	3803.0	19.0	A	1.0	22.0	12.0	0.0	2.0	0.0	1487.0	0.0	Goriška	1.0
162.0	896.0	2010.0	A	118.0	1039348.0	1039348.0	3803.0	19.0	B	1.0	23.0	11.0	0.0	0.0	0.0	1487.0	0.0	Goriška	1.0
164.0	320.0	2010.0	A	118.0	1039349.0	1039349.0	3803.0	19.0	C	1.0	21.0	12.0	0.0	0.0	0.0	1487.0	0.0	Osrednjeslovenska	1.0
165.0	951.0	2010.0	A	118.0	1039351.0	1039351.0	3803.0	20.0	A	1.0	22.0	10.0	0.0	3.0	0.0	1487.0	0.0	Osrednjeslovenska	1.0
166.0	952.0	2010.0	A	118.0	1039353.0	1039353.0	3803.0	20.0	B	1.0	22.0	12.0	0.0	1.0	0.0	1487.0	0.0	Osrednjeslovenska	1.0
167.0	953.0	2010.0	A	118.0	1039356.0	1039356.0	3803.0	20.0	C	1.0	16.0	9.0	0.0	2.0	0.0	1487.0	0.0	Osrednjeslovenska	1.0
168.0	195.0	2010.0	A	118.0	1039305.0	1039305.0	3803.0	12.0	A	1.0	20.0	14.0	0.0	0.0	17.0	0.0	0.0	Notranjsko-Kraška	1.0
169.0	194.0	2010.0	A	118.0	1039307.0	1039307.0	3803.0	12.0	B	1.0	20.0	11.0	0.0	0.0	18.0	0.0	0.0	Notranjsko-Kraška	1.0
170.0	191.0	2010.0	A	118.0	1039308.0	1039308.0	3803.0	12.0	C	1.0	20.0	12.0	0.0	0.0	16.0	0.0	0.0	Notranjsko-Kraška	1.0
171.0	192.0	2010.0	A	118.0	1039309.0	1039309.0	3803.0	13.0	A	1.0	21.0	8.0	0.0	1.0	18.0	0.0	0.0	Notranjsko-Kraška	1.0
172.0	190.0	2010.0	A	118.0	1039310.0	1039310.0	3803.0	13.0	B	1.0	25.0	10.0	0.0	0.0	25.0	0.0	0.0	Notranjsko-Kraška	1.0
173.0	599.0	2010.0	A	118.0	1039311.0	1039311.0	3803.0	13.0	C	1.0	23.0	10.0	0.0	0.0	17.0	0.0	0.0	Notranjsko-Kraška	1.0
174.0	600.0	2010.0	A	118.0	1039312.0	1039312.0	3803.0	14.0	A	1.0	25.0	10.0	0.0	1.0	16.0	0.0	0.0	Notranjsko-Kraška	1.0
175.0	179.0	2010.0	A	118.0	1039313.0	1039313.0	3803.0	14.0	B	1.0	21.0	8.0	0.0	0.0	18.0	0.0	0.0	Osrednjeslovenska	1.0
178.0	602.0	2010.0	A	118.0	1039315.0	1039315.0	3803.0	15.0	A	1.0	21.0	11.0	0.0	1.0	15.0	1487.0	0.0	Osrednjeslovenska	1.0
179.0	675.0	2010.0	A	120.0	1037398.0	1037398.0	3803.0	15.0	A	1.0	16.0	9.0	0.0	1.0	13.0	1487.0	0.0	Osrednjeslovenska	1.0
180.0	676.0	2010.0	A	120.0	1037397.0	1037397.0	3803.0	14.0	B	1.0	17.0	8.0	0.0	0.0	15.0	0.0	0.0	Osrednjeslovenska	1.0
181.0	677.0	2010.0	A	120.0	1037400.0	1037400.0	3803.0	16.0	A	1.0	25.0	10.0	0.0	4.0	22.0	1487.0	0.0	Osrednjeslovenska	1.0
182.0	678.0	2010.0	A	120.0	1037401.0	1037401.0	3803.0	17.0	A	1.0	27.0	12.0	0.0	3.0	0.0	1487.0	0.0	Osrednjeslovenska	1.0
183.0	679.0	2010.0	A	120.0	1037402.0	1037402.0	3803.0	17.0	B	1.0	26.0	12.0	0.0	3.0	0.0	1487.0	0.0	Osrednjeslovenska	1.0
184.0	1215.0	2010.0	A	120.0	1037403.0	1037403.0	3803.0	18.0	A	1.0	28.0	15.0	0.0	0.0	0.0	1487.0	0.0	Osrednjeslovenska	1.0
185.0	197.0	2010.0	A	120.0	1037404.0	1037404.0	3803.0	18.0	B	1.0	27.0	14.0	0.0	2.0	0.0	1487.0	0.0	Obalno-Kraška	1.0
