ST_UC	ST_DEK	ST_ROM	ST_OPB	ST_ODL_USM	REGIJA	TIP
continuous	continuous	continuous	continuous	continuous	discrete	string
					class	meta
14.0	7.0	0.0	13.0	1.0	Osrednjeslovenska	1.0
5.0	9.0	3.0	0.0	0.0	Osrednjeslovenska	2.0
18.0	9.0	0.0	0.0	4.0	Osrednjeslovenska	1.0
18.0	8.0	0.0	0.0	3.0	Osrednjeslovenska	1.0
5.0	9.0	8.0	0.0	0.0	Osrednjeslovenska	2.0
19.0	10.0	0.0	15.0	3.0	Osrednjeslovenska	1.0
24.0	11.0	0.0	0.0	2.0	Osrednjeslovenska	1.0
0.0	0.0	0.0	0.0	0.0	Goriška	8.0
5.0	3.0	1.0	0.0	0.0	Goriška	2.0
10.0	8.0	1.0	0.0	0.0	Podravska	1.0
26.0	13.0	0.0	26.0	0.0	Podravska	1.0
26.0	13.0	1.0	25.0	0.0	Podravska	1.0
28.0	13.0	0.0	25.0	0.0	Goriška	1.0
24.0	14.0	0.0	21.0	0.0	Goriška	1.0
26.0	13.0	0.0	24.0	1.0	Goriška	1.0
23.0	13.0	0.0	20.0	0.0	Goriška	1.0
25.0	12.0	0.0	20.0	1.0	Pomurska	1.0
27.0	13.0	1.0	20.0	1.0	Jugovzhodna Slovenija	1.0
29.0	16.0	0.0	22.0	1.0	Jugovzhodna Slovenija	1.0
28.0	14.0	0.0	25.0	1.0	Jugovzhodna Slovenija	1.0
29.0	13.0	0.0	22.0	2.0	Jugovzhodna Slovenija	1.0
28.0	16.0	0.0	19.0	0.0	Jugovzhodna Slovenija	1.0
27.0	14.0	0.0	15.0	0.0	Jugovzhodna Slovenija	1.0
28.0	14.0	0.0	17.0	1.0	Obalno-Kraška	1.0
24.0	13.0	0.0	9.0	1.0	Obalno-Kraška	1.0
27.0	12.0	0.0	14.0	1.0	Osrednjeslovenska	1.0
27.0	12.0	0.0	7.0	2.0	Osrednjeslovenska	1.0
26.0	12.0	0.0	0.0	0.0	Obalno-Kraška	1.0
25.0	14.0	0.0	0.0	1.0	Obalno-Kraška	1.0
24.0	11.0	1.0	0.0	2.0	Obalno-Kraška	1.0
24.0	11.0	0.0	0.0	1.0	Obalno-Kraška	1.0
