sola;izb0;izb1;izb2;izb3;izb4;izb5;izb6;izb7;izb8;izb9;izb10;izb11;izb12;izb13;izb14;izb15;izb16;izb17;izb18;izb19;izb20;izb21;izb22;izb23;izb24;izb25;izb26;izb27;izb28;izb29;izb30;izb31;izb32;izb33;izb34;izb35;izb36;izb37;izb38;izb39;izb40;izb41;izb42;izb43;izb44;izb45;izb46;izb47;izb48;izb49;izb50;izb51;izb52;izb53;izb54;izb55;izb56;izb57;izb58;izb59;izb60;izb61;izb62;izb63;izb64;izb65;izb66;izb67;izb68;izb69;izb70;izb71;izb72;izb73;izb74;izb75;izb76;izb77;izb78;izb79;izb80;izb81;izb82;izb83;izb84;izb85;izb86;izb87;izb88;izb89;izb90;izb91;izb92;izb93;izb94;izb95;izb96;izb97;izb98;izb99;izb100;izb101;izb102;izb103;izb104;izb105;izb106;izb107;izb108;izb109;izb110;izb111;izb112;izb113;izb114;izb115;izb116;izb117;izb118;izb119
Osnovna šola Pod goro Slovenske Konjice;0;0;0;0.003532608695652174;0.0016304347826086956;0.0019021739130434783;0;0;0;0;0;0;0.002173913043478261;0;0;0;0;0;0.00842391304347826;0.004891304347826087;0;0;0;0;0;0;0;0;0.006521739130434782;0.003532608695652174;0;0.0024456521739130437;0;0;0.003260869565217391;0;0.004076086956521739;0;0;0;0.0016304347826086956;0;0;0;0.004076086956521739;0.002717391304347826;0;0.005706521739130435;0;0;0.005706521739130435;0.0016304347826086956;0.005706521739130435;0;0;0;0.002717391304347826;0.0024456521739130437;0;0.00625;0.004076086956521739;0;0.003260869565217391;0.0019021739130434783;0;0;0;0.00842391304347826;0.0016304347826086956;0;0.00625;0.0010869565217391304;0.001358695652173913;0;0;0.006521739130434782;0.005434782608695652;0.002173913043478261;0;0;0.002717391304347826;0;0.004076086956521739;0;0.003260869565217391;0;0.0038043478260869567;0;0.002173913043478261;0;0;0;0;0;0;0;0.002717391304347826;0;0.004347826086956522;0;0;0.0016304347826086956;0;0;0;0.005706521739130435;0.002717391304347826;0;0;0;0.004347826086956522;0.004619565217391305;0.00842391304347826;0;0;0;0.002989130434782609;0;0;0
Osnovna šola Franca Lešnika - Vuka Slivnica pri Mariboru;0;0;0;0.007901668129938543;0;0;0;0.0030728709394205445;0;0;0;0;0;0;0;0;0;0;0.003950834064969272;0.004389815627743635;0;0;0;0;0;0;0.003950834064969272;0;0;0.010535557506584723;0;0.006145741878841089;0;0;0.005706760316066725;0;0;0;0;0;0;0;0.001755926251097454;0;0;0.007901668129938543;0;0;0.006584723441615452;0;0;0;0;0;0;0;0;0.007023705004389816;0;0;0.013608428446005268;0;0.004828797190517998;0.004828797190517998;0;0;0;0.00877963125548727;0;0;0;0;0.003950834064969272;0;0;0;0;0.003511852502194908;0;0;0;0;0.0030728709394205445;0;0;0;0.004828797190517998;0;0;0;0;0;0;0;0;0;0.003511852502194908;0;0;0;0;0.004389815627743635;0;0;0;0;0.0030728709394205445;0;0;0;0.003950834064969272;0;0.015803336259877086;0;0;0;0.0030728709394205445;0;0;0
Osnovna šola dr. Antona Debeljaka Loški Potok;0;0;0;0.014637904468412942;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007704160246533128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003852080123266564;0;0;0;0.0061633281972265025;0;0.003852080123266564;0;0;0;0.011556240369799691;0.0061633281972265025;0;0;0;0;0;0.00539291217257319;0;0.013097072419106317;0;0;0;0.009244992295839754;0;0;0.0061633281972265025;0;0;0.003852080123266564;0;0;0;0.00847457627118644;0;0;0;0;0;0;0;0;0;0.007704160246533128;0;0;0;0;0.007704160246533128;0;0;0;0.004622496147919877;0;0;0;0;0;0;0;0.010015408320493066;0;0.006933744221879815;0.003852080123266564;0;0;0;0;0;0;0;0;0.00847457627118644;0;0;0;0.007704160246533128;0;0.012326656394453005;0;0;0;0.011556240369799691;0;0;0
Osnovna šola Karla Destovnika-Kajuha Šoštanj;0;0;0;0.0016074298981961065;0.0037506697624575818;0.001786033220217896;0;0;0;0.0012502232541525273;0;0;0;0;0;0;0;0;0;0.00893016610108948;0;0;0;0.001786033220217896;0;0;0;0;0;0;0;0;0;0;0.0030362564743704233;0;0;0;0.0016074298981961065;0;0.0012502232541525273;0;0.0012502232541525273;0;0;0.0007144132880871584;0;0;0.0019646365422396855;0;0;0.0012502232541525273;0;0.0016074298981961065;0;0;0;0.005893909626719057;0;0;0.006251116270762636;0;0.000893016610108948;0.003572066440435792;0.001786033220217896;0;0;0.005715306304697267;0;0;0;0.000893016610108948;0.0010716199321307376;0;0;0;0;0.004107876406501161;0;0.0033934631184140023;0.0014288265761743168;0;0.0014288265761743168;0.0028576531523486336;0;0;0.003572066440435792;0;0;0;0;0;0;0;0.0014288265761743168;0;0.0025004465083050546;0;0;0.000893016610108948;0.0012502232541525273;0.0025004465083050546;0;0;0;0.000893016610108948;0.0016074298981961065;0;0;0;0.006429719592784426;0;0.010537595999285587;0;0;0;0.002321843186283265;0;0;0
Osnovna šola Janka Modra Dol pri Ljubljani;0;0;0;0.0034464475079533405;0;0;0;0.003711558854718982;0;0;0;0;0.0021208907741251328;0;0;0;0;0;0.0034464475079533405;0.007953340402969246;0;0;0;0;0;0;0.005302226935312832;0;0.001855779427359491;0;0;0.002651113467656416;0;0;0.003711558854718982;0;0;0;0.006097560975609756;0;0.0023860021208907743;0;0;0;0;0.0021208907741251328;0;0;0;0;0;0;0;0;0;0;0;0.003711558854718982;0;0;0.007423117709437964;0;0;0.002651113467656416;0.006362672322375398;0;0;0.009278897136797455;0;0;0;0;0.0029162248144220574;0;0;0;0;0.006362672322375398;0;0.003711558854718982;0.010339342523860021;0;0.0042417815482502655;0.003976670201484623;0;0;0.0042417815482502655;0;0.0010604453870625664;0;0;0;0.003711558854718982;0;0;0.003976670201484623;0.004772004241781549;0;0.003976670201484623;0;0;0.01007423117709438;0;0;0;0.001855779427359491;0.004772004241781549;0;0;0;0.006892895015906681;0;0.003976670201484623;0;0;0;0.003976670201484623;0;0;0
Osnovna šola Anice Èernejeve Makole;0;0;0;0.008955223880597015;0;0.008955223880597015;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005970149253731343;0;0;0;0;0;0;0;0;0.005970149253731343;0;0;0;0;0;0;0;0;0;0;0;0.0052238805970149255;0;0.005970149253731343;0;0;0.011194029850746268;0;0;0.014179104477611941;0;0;0;0;0.007462686567164179;0;0;0;0.006716417910447761;0;0;0.017164179104477612;0;0.011940298507462687;0;0;0;0.016417910447761194;0.023880597014925373;0;0;0;0.004477611940298508;0;0;0;0;0;0;0;0;0;0;0;0;0.017164179104477612;0;0.0037313432835820895;0;0;0;0;0;0;0;0;0;0.012686567164179104;0.005970149253731343;0;0.004477611940298508;0;0.008955223880597015;0;0;0;0;0.0037313432835820895;0;0;0;0.006716417910447761;0.014179104477611941;0.03507462686567164;0.013432835820895522;0;0;0;0;0;0
Osnovna šola Seèovlje;0;0;0;0.009509875640087784;0;0.0073152889539136795;0;0;0;0;0;0;0;0;0;0;0;0;0.012435991221653255;0.008778346744696415;0;0;0;0.006583760058522311;0;0;0;0;0.0073152889539136795;0;0;0;0;0;0.010241404535479151;0;0;0;0;0;0.0073152889539136795;0;0.012435991221653255;0;0.005852231163130944;0.010972933430870519;0;0;0;0;0;0;0;0;0;0;0.006583760058522311;0.005852231163130944;0;0;0.008046817849305048;0;0;0.0073152889539136795;0.0;0;0;0.012435991221653255;0;0;0.008778346744696415;0;0;0;0;0;0.020482809070958303;0.009509875640087784;0;0;0.008046817849305048;0;0.010972933430870519;0;0.0073152889539136795;0;0;0;0;0;0;0;0;0;0;0;0.0073152889539136795;0.006583760058522311;0.0073152889539136795;0;0;0.006583760058522311;0;0;0;0;0.005120702267739576;0;0;0;0;0.008046817849305048;0.02267739575713241;0;0;0;0.0073152889539136795;0.008778346744696415;0;0
Osnovna šola Videm;0;0;0;0.00669393826701376;0;0;0;0;0;0.0026031982149497955;0;0.00334696913350688;0;0.002231312755671253;0;0;0;0;0;0.007437709185570844;0;0;0;0.007809594644849386;0;0;0.0026031982149497955;0;0;0.0026031982149497955;0;0;0;0;0.0014875418371141688;0;0;0;0.002231312755671253;0;0.009669021941242098;0;0.0029750836742283376;0.001859427296392711;0.005578281889178133;0.006322052807735217;0;0;0;0;0;0.005206396429899591;0;0;0;0;0.0029750836742283376;0.001859427296392711;0;0;0.005950167348456675;0;0;0.005950167348456675;0.0014875418371141688;0;0;0.009297136481963555;0.005206396429899591;0;0;0;0.005578281889178133;0;0;0;0.008925251022685012;0.002231312755671253;0;0;0.00334696913350688;0;0.009669021941242098;0;0;0;0.007065823726292302;0;0;0;0;0.0011156563778356265;0.0029750836742283376;0;0.00334696913350688;0;0.005206396429899591;0.00334696913350688;0;0.002231312755671253;0;0.002231312755671253;0;0;0;0.001859427296392711;0.005206396429899591;0;0;0;0.007065823726292302;0.0026031982149497955;0.008181480104127928;0.004834510970621049;0;0.00334696913350688;0.010784678319077723;0;0;0
Osnovna šola Stroèja vas;0;0;0;0.018800358102059087;0.012533572068039392;0;0.01432408236347359;0;0;0;0;0;0;0;0;0;0;0;0.005371530886302597;0;0;0.008952551477170993;0;0;0;0;0.007162041181736795;0;0;0;0;0;0;0;0.006266786034019696;0.004476275738585497;0;0;0;0;0.011638316920322292;0;0;0;0.011638316920322292;0.006266786034019696;0;0;0.012533572068039392;0;0;0.006266786034019696;0;0;0;0;0.005371530886302597;0.007162041181736795;0;0;0.018800358102059087;0;0;0.005371530886302597;0;0;0;0.012533572068039392;0;0;0;0;0.012533572068039392;0;0;0;0;0.006266786034019696;0;0.008057296329453895;0.006266786034019696;0;0;0.010743061772605193;0;0;0;0;0;0;0;0;0;0;0.01432408236347359;0.010743061772605193;0.004476275738585497;0;0;0;0;0.008057296329453895;0;0;0;0;0.009847806624888093;0;0;0;0;0.007162041181736795;0.023276633840644583;0;0;0;0.005371530886302597;0;0;0
Osnovna šola Orehek Kranj;0;0.0020602626834921455;0;0.003090394025238218;0.0025753283543651817;0.0023177955189286636;0;0;0;0;0;0.0020602626834921455;0.0010301313417460727;0;0;0;0;0;0;0.0036054596961112542;0;0;0;0;0;0;0.0018027298480556271;0;0.003347926860674736;0;0;0;0;0;0.001545197012619109;0;0;0.0007725985063095545;0;0;0.001545197012619109;0;0;0;0;0;0;0;0.0028328611898017;0;0;0.004378058202420809;0;0;0;0;0.003090394025238218;0.0010301313417460727;0;0;0.0020602626834921455;0;0;0.010043780582024209;0;0;0;0.010043780582024209;0.005408189544166882;0;0;0.0020602626834921455;0.003347926860674736;0.0007725985063095545;0;0;0.001545197012619109;0.003090394025238218;0;0;0.0036054596961112542;0;0;0;0.003090394025238218;0;0.004120525366984291;0.0007725985063095545;0.0010301313417460727;0;0;0.0025753283543651817;0.004378058202420809;0.0018027298480556271;0;0;0.0072109193922225085;0;0.0012876641771825909;0;0.0012876641771825909;0.009013649240278136;0.0023177955189286636;0;0;0.0036054596961112542;0.003090394025238218;0;0;0;0.003090394025238218;0.0023177955189286636;0.0025753283543651817;0.0036054596961112542;0;0;0.006180788050476436;0;0;0.0023177955189286636
