Regija,Sifra,Šola,'Okoljska vzgoja II /i/','Likovno snovanje 3 /i/','Izbrani šport /i/','Verstva in etika 2 /i/','Logika III /i/','Ansambelska igra /i/','Kemija v življenju /i/','Angleš?ina III /i/','Matemati?ne delavnice 8 /i/','Latinš?ina I /i/','Ruš?ina III /i/','Projekti iz fizike in tehnike /i/','Madžarš?ina II /i/','Filozofija za otroke: Jaz in drugi /i/','Obdelava gradiv: kovine /i/','Kitajš?ina I /i/','Verstva in etika 1 /i/','Nemš?ina I /i/','Projekti iz fizike in ekologije /i/','Zvezde in vesolje /i/','Tisk /i/','Hrvaš?ina II /i/','Urejanje besedil /i/','Robotika v tehniki /i/','Okoljska vzgoja I /i/','Logika II /i/','Hrvaš?ina I /i/','Klekljanje II /i/','Šolsko novinarstvo /i/','Sre?anja s kulturami in na?ini življenja /i/','Na?ini prehranjevanja /i/','Turisti?na vzgoja /i/','Kmetijska dela /i/','Filozofija za otroke: Eti?na raziskovanja /i/','Angleš?ina II /i/','Romska kultura /i/','Življenje upodobljeno v umetnosti /i/','Srbš?ina II /i/','Francoš?ina III /i/','Obdelava gradiv: umetne snovi /i/','Kemija v okolju /i/','Genetika /i/','Šport za zdravje /i/','Literarni klub /i/','Ruš?ina I /i/','Klaviatura in ra?unalnik I /i/','Raziskovanje doma?e okolice /i/','Glasbeni projekt /i/','Okoljska vzgoja III /i/','Sodobna priprava hrane /i/','Latinš?ina II /i/','Obdelava gradiv: les /i/','Ra?unalništvo (v OŠPP) /i/','Sonce Luna in Zemlja /i/','Latinš?ina III /i/','Ra?unalniška omrežja /i/','Vezenje: Angleško vezenje in rišelje vezenje (i)','Glasbena dela /i/','Filozofija za otroke: Kriti?no mišljenje /i/','Televizija /i/','Šahovsko kombiniranje /i/','Španš?ina III /i/','Nemš?ina III /i/','Sodobnosti z razsežnostmi dediš?ine /i/','Varstvo pred naravnimi in drugimi nesre?ami /i/','Državljanska kultura /i/','Italijanš?ina III /i/','?ebelarstvo /i/','Elektrotehnika /i/','Življenje ?loveka na zemlji /i/','Šahovske strategije /i/','Sodobno kmetijstvo /i/','Francoš?ina II /i/','Informacijsko opismenjevanje /i/','Vezenje: Osnovni vbodi in tehnike vezenja /i/','Odkrivajmo preteklost mojega kraja /i/','Hrvaš?ina III /i/','Matemati?ne delavnice 7 /i/','Kitajš?ina III /i/','Klekljanje I /i/','Organizmi v naravi in umetnem okolju /i/','Daljnogledi in planeti /i/','Raziskovanje organizmov v doma?i okolici /i/','Klaviatura in ra?unalnik II /i/','Nemš?ina II /i/','Kitajš?ina II /i/','Multimedia /i/','Rastline in ?lovek /i/','Italijanš?ina II /i/','Gledališki klub /i/','Starinski in družabni plesi /i/','Ljudski plesi /i/','Kaj nam govorijo umetnine /i/','Ples /i/','Radio /i/','Likovno snovanje 2 /i/','Risanje v geometriji in tehniki /i/','Vezenje: Slikarski marjeti?ni in gobelinski vbodi (i)','Elektronika z robotiko /i/','Oblika in slog /i/','Francoš?ina I /i/','Italijanš?ina I /i/','Šport za sprostitev /i/','Logika I /i/','Srbš?ina I /i/','Ruš?ina II /i/','Klekljanje III /i/','Verstva in etika 3 /i/','Madžarš?ina I /i/','Retorika /i/','Angleš?ina I /i/','Matemati?ne delavnice 9 /i/','Likovno snovanje 1 /i/','Španš?ina II /i/','Poskusi v kemiji /i/','Raziskovanje doma?ega kraja in varstvo njegovega okolja /i/'
Notranjsko-Kraška,144,'Osnovna šola Notranjski odred Cerknica',0,6,43,0,0,11,0,0,0,0,4,0,0,16,11,0,0,25,0,0,0,0,14,0,0,0,0,0,6,0,11,12,0,9,0,0,0,0,0,13,0,9,31,0,4,11,0,8,0,26,0,47,0,0,0,5,0,0,0,15,8,9,8,0,9,0,0,0,21,16,0,0,0,0,0,7,0,5,0,0,5,0,0,0,17,0,6,14,0,7,0,0,0,10,0,8,0,0,0,0,0,0,49,0,0,5,0,0,0,7,0,0,13,5,9,11
Notranjsko-Kraška,145,'Osnovna šola Jožeta Krajca Rakek',0,10,12,0,0,0,9,0,6,0,0,0,0,0,0,0,8,10,0,0,0,0,9,0,0,0,0,0,0,0,11,21,0,0,0,0,0,0,0,12,19,0,21,0,0,0,12,3,0,28,0,7,0,8,0,7,0,0,5,18,0,1,19,0,6,0,0,0,8,9,0,0,0,0,0,0,0,6,0,0,0,0,4,0,8,0,12,6,0,22,13,0,0,4,6,9,0,0,0,0,0,0,34,0,0,0,0,0,0,11,0,0,8,3,12,0
Notranjsko-Kraška,146,'Osnovna šola Toneta Šraja Aljoše',0,0,12,0,0,0,0,0,0,0,0,0,0,0,7,0,4,12,0,0,0,0,4,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,21,0,0,0,18,0,0,0,0,13,0,0,0,11,0,0,0,0,0,0,3,0,6,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,10,7,0,20,0,0,0,12,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,8,0,0,17,0
Notranjsko-Kraška,148,'Osnovna šola heroja Janeza Hribarja Stari trg pri Ložu',0,33,15,0,0,0,16,0,0,0,0,0,0,0,12,0,0,14,0,10,0,0,28,0,0,0,0,0,10,0,5,18,0,0,0,0,0,0,0,17,0,0,13,0,0,0,0,0,0,9,0,11,0,9,0,17,0,0,0,0,0,0,12,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,0,13,0,23,0,0,6,12,16,0,16,0,21,7,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,10,0,18,0
Notranjsko-Kraška,190,'Osnovna šola Rudija Mahni?a - Brkinca Pregarje',0,3,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,4,0,0,0,0,0,4,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,5,0,0,0,4,5,0,0,0,0,0,0,0,0,0,4,0,0,0
Notranjsko-Kraška,191,'Osnovna šola Rudolfa Ukovi?a Podgrad',0,6,4,0,0,0,0,0,0,0,0,0,0,6,12,0,12,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,5,0,0,0,0,0,11,0,13,0,0,5,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,13,0,12,0,0,0,0,8,0,7,0,0,0,0,0,12,9,0,0,0,0,0,0,4,0,10,11,0,0,0
Notranjsko-Kraška,192,'Osnovna šola Podgora Kuteževo',7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,6,0,12,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,12,0,0,0,15,0,11,6,0,3,0,5,0,4,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,13,0,8,0,0,0,7,9,4,11,0,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,4,0,0
Notranjsko-Kraška,194,'Osnovna šola Toneta Tomši?a Knežak',0,0,12,0,0,10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,16,10,0,0,0,0,0,0,17,0,5,17,0,0,0,0,0,0,7,0,4,0,0,0,6,0,0,13,5,0,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,11,0,4,0,6,0,0,6,0,0,0,11,7,9,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,13,0,10,0
Notranjsko-Kraška,195,'Osnovna šola Jelšane',0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,3,0,7,17,0,0,0,0,0,0,0,0,0,0,14,0,0,0,4,0,0,5,0,0,0,6,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,15,0,3,0,6,16,2,6,0,0,0,8,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,6,0,6,4
Notranjsko-Kraška,401,'Osnovna šola Miroslava Vilharja Postojna',0,12,12,0,0,12,11,0,0,0,0,9,0,0,0,0,0,12,0,10,12,0,15,13,0,0,0,0,0,10,12,11,0,0,0,0,15,0,0,20,10,0,27,13,0,0,0,0,0,34,0,15,0,14,0,35,0,0,0,13,0,0,6,0,0,0,5,0,0,0,0,0,0,0,16,0,0,0,0,0,14,14,20,0,8,0,56,12,15,11,0,0,0,0,16,13,23,12,0,0,0,23,16,0,0,0,0,15,0,15,0,0,11,0,10,0
